30.40,631.80,1
30.40,631.09,1
30.40,631.71,1
30.40,631.09,2173
30.40,630.83,2108
30.40,630.74,2126
30.50,630.12,1
30.50,630.38,2146
30.50,630.21,2094
30.50,630.47,2121
30.50,631.00,2116
30.50,630.65,1
30.50,630.21,2204
30.50,629.76,2154
30.50,630.03,2164
30.50,630.12,1
30.50,629.76,1
30.50,630.29,1
30.50,630.74,5
30.50,631.36,5
30.50,631.36,5
30.50,631.36,5
30.50,631.45,5
30.50,631.62,5
30.50,631.09,5
30.50,630.91,5
30.50,631.36,5
30.50,631.36,7
30.50,631.45,13
30.50,631.53,5
30.50,630.74,1
30.50,631.36,10
30.50,631.71,5
30.50,631.45,1
30.50,631.71,1
30.50,631.00,1
30.50,631.36,5
30.50,631.18,4
30.50,630.91,5
30.50,631.18,37
30.50,631.18,9
30.50,631.09,1
30.50,631.45,5
30.50,631.09,8
30.50,631.71,5
30.50,632.24,5
30.50,632.15,1
30.50,631.71,1
30.50,631.53,13
30.50,631.45,15
30.50,632.07,30
30.50,631.98,1
30.50,631.89,1
30.50,631.53,1
30.50,631.98,1
30.50,631.18,1
30.50,631.36,1
30.50,631.00,1
30.60,630.83,1
30.60,631.27,1
30.50,631.62,13
30.50,632.15,1
30.50,632.68,1
30.50,633.48,1
30.50,633.22,1
30.50,633.66,1
30.50,633.22,1
30.50,632.95,1
30.50,632.60,1
30.50,632.77,1
30.50,632.77,1
30.50,632.68,1
30.50,632.77,1
30.50,632.95,1
30.50,633.13,1
30.50,632.77,1
30.50,632.77,1
30.50,632.68,1
30.50,632.77,1
30.50,632.95,1
30.50,632.42,19
30.50,632.51,23
30.50,632.86,24
30.50,632.68,35
30.50,632.51,34
30.50,632.60,25
30.50,632.68,22
30.50,632.77,20
30.50,632.68,22
30.50,632.51,14
30.50,632.51,15
30.50,633.22,1
30.50,632.24,1
30.50,632.60,1
30.60,632.68,4
30.50,632.60,1
30.60,632.68,1
30.50,632.95,18
30.60,632.60,1
30.60,632.86,1
30.60,632.51,1
30.60,632.42,1
30.60,632.68,1
30.60,632.68,1
30.60,632.60,1
30.60,633.13,1
30.60,632.60,1
30.60,632.77,1
30.60,632.60,28
30.60,632.24,8
30.60,632.86,1
30.60,632.33,1
30.60,632.60,35
30.60,632.33,55
30.60,632.24,5
30.60,633.39,1
30.60,632.77,1
30.60,632.60,1
30.60,632.77,1
30.60,632.51,1
30.60,632.60,1
30.60,632.68,28
30.60,633.13,23
30.60,633.13,20
30.60,632.68,20
30.60,633.48,1
30.60,632.86,1
30.60,632.68,25
30.60,632.95,27
30.60,632.86,19
30.60,632.68,25
30.60,633.22,12
30.60,632.77,4
30.60,632.68,19
30.60,632.95,17
30.60,632.51,13
30.60,632.86,14
30.60,632.51,10
30.60,632.42,8
30.60,632.24,4
30.60,632.60,18
30.60,632.33,5
30.60,632.15,7
30.60,632.15,12
30.60,632.77,22
30.60,632.42,18
30.60,632.51,27
30.60,632.51,1
30.60,632.86,1089
30.60,632.86,1070
30.60,632.51,1071
30.60,632.68,1064
30.60,632.68,1082
30.60,633.48,1078
30.60,632.77,1
30.60,633.04,1
30.60,632.95,2139
30.60,632.51,1
30.60,632.77,1
30.60,633.13,2158
30.60,632.51,2164
