Latitude,longitude, GPSalt, BARalt, distlidar, fin
9.8738069534,-83.6647644043,677.0000000000,668.95,142,12.00
9.8738069534,-83.6647644043,677.0000000000,669.13,158,12.00
9.8738069534,-83.6647644043,677.0000000000,668.68,163,12.00
9.8738069534,-83.6647644043,677.0000000000,669.39,1,12.00
9.8738069534,-83.6647644043,677.0000000000,669.13,1,12.00
9.8738069534,-83.6647644043,677.0000000000,669.04,1,12.00
9.8738069534,-83.6647644043,677.0000000000,669.30,1,12.00
9.8738069534,-83.6647644043,677.0000000000,669.66,1,12.00
9.8738069534,-83.6647644043,677.0000000000,669.21,1,12.00
9.8738069534,-83.6647644043,677.0000000000,669.48,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.21,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.57,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.30,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.75,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.66,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.75,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.57,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.66,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.48,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.75,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.75,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.66,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.48,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.39,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.75,1,12.00
9.8738069534,-83.6647644043,677.2999877930,669.48,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.75,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.48,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.93,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.93,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.84,1,12.00
9.8738069534,-83.6647644043,677.0999755859,670.01,1,12.00
9.8738069534,-83.6647644043,677.0999755859,670.01,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.93,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.66,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.93,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.75,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.39,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.75,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.84,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.84,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.30,1,12.00
9.8738069534,-83.6647644043,677.0999755859,669.75,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.93,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.84,1,12.00
9.8738069534,-83.6647644043,676.7999877930,670.10,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.39,1,12.00
9.8738069534,-83.6647644043,676.7999877930,670.10,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.66,1,12.00
9.8738069534,-83.6647644043,676.7999877930,670.10,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.93,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.39,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.93,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.66,1,12.00
9.8738069534,-83.6647644043,676.7999877930,670.01,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.48,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.93,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.93,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.39,1,12.00
9.8738069534,-83.6647644043,676.7999877930,668.95,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.21,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.48,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.93,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.48,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.48,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.39,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.75,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.84,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.66,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.93,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.66,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.93,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.57,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.30,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.84,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.93,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.48,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.57,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.84,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.48,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.84,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.66,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.39,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.75,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.57,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.75,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.39,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.39,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.48,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.21,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.66,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.13,1,12.00
9.8738069534,-83.6647644043,676.5999755859,669.48,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.57,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.57,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.57,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.57,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.48,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.75,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.39,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.39,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.21,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.21,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.48,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.66,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.66,1,12.00
9.8738069534,-83.6647644043,676.4000244141,669.30,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.21,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.48,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.48,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.75,1,12.00
9.8738069534,-83.6647644043,676.2000122070,670.19,1,12.00
9.8738069534,-83.6647644043,676.2000122070,670.01,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.84,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.57,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.48,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.48,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.39,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.66,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.39,1,12.00
9.8738069534,-83.6647644043,676.2000122070,669.75,1,12.00
9.8738069534,-83.6647644043,675.7999877930,669.84,1,12.00
9.8738069534,-83.6647644043,675.7999877930,669.48,1,12.00
9.8738069534,-83.6647644043,675.7999877930,669.39,1,12.00
9.8738069534,-83.6647644043,675.7999877930,669.21,1,12.00
9.8738069534,-83.6647644043,675.7999877930,669.30,1,12.00
9.8738069534,-83.6647644043,675.7999877930,668.59,1,12.00
9.8738069534,-83.6647644043,675.7999877930,668.95,1,12.00
9.8738069534,-83.6647644043,675.7999877930,668.59,1,12.00
9.8738069534,-83.6647644043,675.7999877930,668.68,1,12.00
9.8738069534,-83.6647644043,675.7999877930,668.50,1,12.00
9.8738069534,-83.6647644043,675.7999877930,669.48,1,12.00
9.8738069534,-83.6647644043,675.7999877930,669.04,1,12.00
9.8738069534,-83.6647644043,675.7999877930,668.86,1,12.00
9.8738069534,-83.6647644043,675.7999877930,669.75,1,12.00
9.8738069534,-83.6647644043,675.7999877930,669.04,1,12.00
9.8738069534,-83.6647644043,675.7999877930,669.13,1,12.00
9.8738069534,-83.6647644043,675.4000244141,670.01,1,12.00
9.8738069534,-83.6647644043,675.4000244141,669.57,1,12.00
9.8738069534,-83.6647644043,675.4000244141,669.57,1,12.00
9.8738069534,-83.6647644043,675.4000244141,669.30,1,12.00
9.8738069534,-83.6647644043,675.4000244141,669.13,1,12.00
9.8738069534,-83.6647644043,675.4000244141,669.48,1,12.00
9.8738069534,-83.6647644043,675.4000244141,669.93,1,12.00
9.8738069534,-83.6647644043,675.4000244141,668.77,1,12.00
9.8738069534,-83.6647644043,675.4000244141,668.95,1,12.00
9.8738069534,-83.6647644043,675.4000244141,669.04,1,12.00
9.8738069534,-83.6647644043,675.4000244141,668.42,1,12.00
9.8738069534,-83.6647644043,675.4000244141,668.50,1,12.00
9.8738069534,-83.6647644043,675.4000244141,668.77,1,12.00
9.8738069534,-83.6647644043,675.4000244141,668.77,1,12.00
9.8738079071,-83.6647644043,675.5000000000,668.68,1,12.00
9.8738079071,-83.6647644043,675.5000000000,668.95,1,12.00
9.8738079071,-83.6647644043,675.5000000000,668.68,1,12.00
9.8738079071,-83.6647644043,675.5000000000,668.95,1,12.00
9.8738079071,-83.6647644043,675.5000000000,669.39,1,12.00
9.8738079071,-83.6647644043,675.5000000000,668.77,1,12.00
9.8738079071,-83.6647644043,675.5000000000,669.30,1,12.00
9.8738079071,-83.6647644043,675.5000000000,669.13,1,12.00
9.8738079071,-83.6647644043,675.5000000000,668.86,1,12.00
9.8738079071,-83.6647644043,675.5000000000,669.39,1,12.00
9.8738079071,-83.6647644043,675.5000000000,668.95,1,12.00
9.8738079071,-83.6647644043,675.5000000000,669.39,1,12.00
9.8738079071,-83.6647644043,675.5000000000,669.30,1,12.00
9.8738079071,-83.6647644043,675.5000000000,669.04,1,12.00
9.8738079071,-83.6647644043,675.5000000000,669.04,131,12.00
9.8738088608,-83.6647644043,675.5000000000,669.57,1,12.00
9.8738088608,-83.6647644043,675.5000000000,669.30,1,12.00
9.8738088608,-83.6647644043,675.5000000000,669.30,1,12.00
9.8738088608,-83.6647644043,675.5000000000,668.95,1,12.00
9.8738088608,-83.6647644043,675.5000000000,669.21,1,12.00
9.8738088608,-83.6647644043,675.5000000000,668.33,1,12.00
9.8738088608,-83.6647644043,675.5000000000,669.13,1,12.00
9.8738088608,-83.6647644043,675.5000000000,668.95,1,12.00
9.8738088608,-83.6647644043,675.5000000000,668.42,1,12.00
9.8738088608,-83.6647644043,675.5000000000,668.77,1,12.00
9.8738088608,-83.6647644043,675.5000000000,668.95,1,12.00
9.8738088608,-83.6647644043,675.5000000000,668.59,1,12.00
9.8738088608,-83.6647644043,675.5000000000,668.68,1,12.00
9.8738088608,-83.6647644043,675.5000000000,668.77,1,12.00
9.8738088608,-83.6647644043,675.5000000000,669.66,1,12.00
