lat, long
9.8737859726,-83.6648101807
9.8761348724,-83.6626968384
9.8737850189,-83.6648101807
9.8766345978,-83.6621246338
9.8738832474,-83.6649551392
9.8738145828,-83.6647949219
9.873922348,-83.6649703979
9.873758316,-83.6648406982
9.8737783432,-83.6648101807
9.8745775223,-83.6645812988
9.8737773895,-83.6648254395
9.8760938644,-83.6638870239
9.8738136292,-83.6647949219
9.8761911392,-83.6625976562
9.8761930466,-83.6625976562
9.8738059998,-83.6647796631
9.8737812042,-83.6648101807
9.8757991791,-83.6630554199
9.8737812042,-83.6648101807
9.8737840652,-83.6648101807
9.8737955093,-83.6648101807
9.8738117218,-83.6648101807
9.875825882,-83.6630554199
9.8753862381,-83.6640625
9.8738088608,-83.6648101807
9.8738117218,-83.6647949219
9.8737640381,-83.6648635864
9.8737773895,-83.6648254395
9.8737745285,-83.6648254395
9.8761444092,-83.6638870239
9.874537468,-83.6645812988
9.8737850189,-83.6648101807
9.875828743,-83.6630706787
9.8737726212,-83.6648406982
9.8761510849,-83.6626434326
9.8761730194,-83.6625976562
9.8757762909,-83.6631011963
9.8757762909,-83.6630859375
9.8740129471,-83.6650390625
9.8737297058,-83.6648406982
9.8737726212,-83.6648254395
9.8759317398,-83.6631546021
9.873796463,-83.6647949219
9.8737802505,-83.6648406982
9.8737926483,-83.6648101807
9.8738269806,-83.6647796631
9.8737792969,-83.6648635864
9.8762245178,-83.6624679565
9.8761568069,-83.6638641357
9.8737754822,-83.6648406982
9.8738307953,-83.6647796631
9.873796463,-83.6648254395
9.8737745285,-83.6648254395
9.8737850189,-83.6648101807
9.873711586,-83.6648406982
9.8746128082,-83.66456604
9.8761310577,-83.6626968384
9.8738689423,-83.6649398804
9.8748016357,-83.6644363403
9.8754091263,-83.6640472412
9.8737916946,-83.6648406982
9.8738098145,-83.6647796631
9.8737745285,-83.6648254395
9.8764448166,-83.6624984741
9.8737630844,-83.6648406982
9.8737630844,-83.6648406982
9.8737831116,-83.6648254395
9.8757772446,-83.6631011963
9.8737707138,-83.6648635864
9.8760309219,-83.6636047363
9.8737897873,-83.6648101807
9.8757839203,-83.6631011963
9.8737916946,-83.6648406982
9.87388134,-83.6649551392
9.8761358261,-83.6626968384
9.8764457703,-83.6624984741
9.8753967285,-83.6640625
9.8737268448,-83.6648406982
9.8737573624,-83.6648406982
9.8738183975,-83.6647949219
9.8738241196,-83.6647949219
9.8766441345,-83.6621246338
9.8737831116,-83.6648254395
9.8758888245,-83.6639022827
9.8737745285,-83.6648254395
9.8766441345,-83.6621398926
9.8738260269,-83.6647949219
9.8737812042,-83.6648101807
9.8737802505,-83.6648101807
9.8737840652,-83.6648254395
9.8746757507,-83.6645355225
9.8750762939,-83.6642608643
9.873755455,-83.6648406982
9.8737335205,-83.6648406982
9.8738098145,-83.6647796631
9.8738269806,-83.6647949219
9.8747205734,-83.6642074585
9.8737678528,-83.6648635864
9.8761463165,-83.6627120972
9.8738193512,-83.6648101807
9.8737201691,-83.6648406982
9.8737859726,-83.6648101807
9.8737840652,-83.6648101807
9.8766441345,-83.6621398926
9.8737821579,-83.6648101807
9.8764543533,-83.6624526978
9.8737726212,-83.6648254395
9.8737850189,-83.6648101807
9.8761911392,-83.6625976562
9.8748559952,-83.6638031006
9.876124382,-83.6626815796
9.8737773895,-83.6648101807
9.8737888336,-83.6648406982
9.8737602234,-83.6648406982
9.8761329651,-83.6626968384
9.8760061264,-83.6628265381
9.873831749,-83.6647796631
9.8737878799,-83.6648254395
9.8759593964,-83.6632461548
9.8753108978,-83.6633453369
9.8737621307,-83.6648406982
9.8738155365,-83.6647949219
9.8761138916,-83.6626815796
9.8737840652,-83.6648101807
9.8738145828,-83.6647949219
9.8737945557,-83.6648101807
9.8737764359,-83.6648635864
9.8761558533,-83.6638641357
9.8737430573,-83.6648406982
9.8737792969,-83.6648635864
9.8766317368,-83.6621246338
9.8737878799,-83.6648101807
9.8738269806,-83.6647949219
9.8761291504,-83.6626968384
9.8758296967,-83.6630554199
9.8748340607,-83.6637878418
9.8737840652,-83.6648101807
9.8738098145,-83.6647949219
9.8738260269,-83.6647949219
9.8737955093,-83.6648254395
9.8758192062,-83.6630706787
9.87383461,-83.6647796631
9.873755455,-83.6648406982
9.8738193512,-83.6647949219
9.8738117218,-83.6647949219
9.8737735748,-83.6648254395
9.8738212585,-83.6647949219
9.8737926483,-83.6648101807
9.8737945557,-83.6648254395
9.873875618,-83.6649551392
9.8762073517,-83.6625976562
9.8738107681,-83.6647949219
9.8738307953,-83.6647796631
9.8738126755,-83.6647949219
9.8738298416,-83.6647796631
9.8761339188,-83.6626815796
9.8763694763,-83.6625289917
9.8749523163,-83.6636581421
9.8754205704,-83.6640472412
9.8737735748,-83.6648406982
9.8766412735,-83.6621246338
9.8737754822,-83.6648406982
9.8761405945,-83.6626815796
9.8738183975,-83.6647949219
9.8737201691,-83.6648406982
9.8737621307,-83.6648406982
9.876619339,-83.6621246338
9.8737640381,-83.6648406982
9.8737659454,-83.6648406982
9.8737850189,-83.6648101807
9.8760471344,-83.6636581421
9.8738136292,-83.6647949219
9.8737783432,-83.6648635864
9.8761634827,-83.6638641357
9.8737201691,-83.6648406982
9.8738126755,-83.6648101807
9.8737888336,-83.6648406982
9.8737802505,-83.6648101807
9.8758382797,-83.6630554199
9.8737754822,-83.6648254395
9.8737735748,-83.6648635864
9.8738737106,-83.6649703979
9.8737783432,-83.6648101807
9.8738775253,-83.6649703979
9.8747997284,-83.6644515991
9.8737812042,-83.6648101807
9.8738145828,-83.6647949219
9.8738803864,-83.6649551392
9.87383461,-83.6647796631
9.8738117218,-83.6647949219
9.8737831116,-83.6648101807
9.8754053116,-83.6640472412
9.8737792969,-83.6648254395
9.8737754822,-83.6648254395
9.8754205704,-83.6640472412
9.8738145828,-83.6647949219
9.8738269806,-83.6647949219
9.8737850189,-83.6648101807
9.8737621307,-83.6648635864
9.8738260269,-83.6647949219
9.8738241196,-83.6647796631
9.8758029938,-83.6630859375
9.8754024506,-83.6640319824
9.8748378754,-83.6638031006
9.8737726212,-83.6648254395
9.8737850189,-83.6648254395
9.8766546249,-83.662109375
9.8737668991,-83.6648406982
9.8737888336,-83.6648101807
9.8737802505,-83.6648101807
9.8738641739,-83.6649398804
9.8737792969,-83.6648635864
9.8738107681,-83.6647796631
